ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,WElo,WSurfElo,WBD,WHand,WBHand,LElo,LSurfElo,LBD,LHand,LBHand
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Del Potro J.M.,Haase R.,6.0,44.0,4155.0,1120.0,6.0,4.0,5.0,7.0,6.0,2.0,,,,,2.0,1.0,Completed,1.16,5.0,1.16,4.6,1.17,5.0,1.18,5.54,,,1.22,5.8,1.17,4.97,,,,,,1659.3,1638.5,1987-04-06,R,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Berdych T.,Nishioka Y.,13.0,374.0,2275.0,109.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.23,3.75,1.25,4.0,1.25,4.45,,,1.29,4.45,1.25,3.93,1834.6,1798.8,1985-09-17,R,2.0,1825.7,1791.1,1995-09-27,L,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Coric B.,Mayer L.,36.0,45.0,1366.0,1080.0,6.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.4,2.75,1.42,2.65,1.44,2.75,1.48,2.86,,,1.5,2.94,1.46,2.74,1823.7,1772.5,1996-11-14,R,2.0,1702.8,1671.9,1987-05-15,R,1.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Khachanov K.,Copil M.,41.0,84.0,1220.0,661.0,7.0,5.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.3,3.4,1.3,3.2,1.33,3.4,1.35,3.54,,,1.39,3.56,1.32,3.4,1872.7,1817.9,1996-05-21,R,2.0,1668.8,1639.6,1990-10-17,R,1.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Shapovalov D.,Dzumhur D.,46.0,30.0,1076.0,1430.0,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.5,2.4,,,1.56,2.6,,,1.59,2.78,1.53,2.51,1946.8,1915.2,1999-04-15,L,1.0,1723.9,1682.0,1992-05-20,R,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Tiafoe F.,Edmund K.,63.0,26.0,844.0,1627.0,7.0,6.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.0,1.75,1.95,1.73,2.1,1.81,2.11,,,1.92,2.11,1.79,2.02,1739.2,1704.4,1998-01-20,R,2.0,1830.1,1797.2,1995-01-08,R,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Sock J.,Bhambri Y.,11.0,107.0,2335.0,545.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.57,2.25,1.61,2.25,1.62,2.45,,,1.7,2.5,1.61,2.33,,,,,,,,,,
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Carreno Busta P.,Istomin D.,19.0,85.0,2045.0,658.0,6.0,1.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.37,2.85,1.4,3.0,1.42,3.11,,,1.43,3.2,1.39,2.99,,,,,,1610.9,1611.0,1986-09-07,R,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Anderson K.,Basilashvili N.,8.0,89.0,3235.0,640.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.1,7.0,1.09,6.25,1.11,6.5,1.11,8.1,,,1.13,8.1,1.1,7.0,,,,,,1839.2,1781.6,1992-02-23,R,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Fognini F.,Kuhn N.,18.0,211.0,2155.0,261.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.18,4.3,1.2,4.5,1.21,5.03,,,1.23,5.25,1.19,4.65,1891.2,1829.0,1987-05-24,R,2.0,1502.8,1477.5,2000-03-20,R,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Kokkinakis T.,Federer R.,175.0,1.0,319.0,9660.0,3.0,6.0,6.0,3.0,7.0,6.0,,,,,2.0,1.0,Completed,8.0,1.08,7.25,1.06,7.5,1.08,10.43,1.08,,,11.25,1.1,8.64,1.07,1781.2,1752.6,1996-04-10,R,2.0,2167.3,2107.2,1981-08-08,R,1.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Querrey S.,Albot R.,14.0,93.0,2265.0,627.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.18,4.5,1.16,4.6,1.17,5.0,1.21,5.0,,,1.22,5.4,1.19,4.8,1848.6,1770.9,1987-10-07,R,2.0,1786.9,1751.5,1989-11-11,R,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Verdasco F.,Garcia-Lopez G.,39.0,69.0,1260.0,779.0,4.0,6.0,6.0,0.0,6.0,2.0,,,,,2.0,1.0,Completed,1.33,3.25,1.32,3.1,1.36,3.25,1.36,3.46,,,1.39,3.55,1.34,3.27,1805.3,1762.8,1983-11-15,L,2.0,,,,,
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Johnson S.,Mannarino A.,54.0,22.0,940.0,1735.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.8,1.9,1.91,1.91,1.93,1.97,,,1.96,2.05,1.86,1.95,1725.9,1673.3,1989-12-24,R,2.0,1782.0,1727.6,1988-06-29,L,2.0
20,Miami,Sony Ericsson Open,2018-03-24,Masters 1000,Outdoor,Hard,2nd Round,3,Ferrer D.,Donskoy E.,35.0,88.0,1370.0,641.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.45,2.55,1.44,2.75,1.52,2.73,,,1.55,2.8,1.47,2.68,,,,,,1641.7,1600.5,1990-05-09,R,2.0
20,Miami,Sony Ericsson Open,2018-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Del Potro J.M.,Nishikori K.,6.0,33.0,4155.0,1415.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.33,3.25,1.33,3.05,1.36,3.25,1.41,3.23,,,1.44,3.5,1.38,3.07,,,,,,1936.5,1877.8,1989-12-29,R,2.0
20,Miami,Sony Ericsson Open,2018-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Cilic M.,Pospisil V.,3.0,77.0,4905.0,687.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.14,5.5,1.15,4.75,1.17,5.0,1.18,5.88,,,1.18,5.88,1.16,5.33,1892.6,1840.0,1988-09-28,R,2.0,1832.5,1804.6,1990-06-23,R,2.0
20,Miami,Sony Ericsson Open,2018-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Chardy J.,Dimitrov G.,90.0,4.0,640.0,4600.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,3.25,1.33,3.2,1.3,3.4,1.33,3.73,1.33,,,3.9,1.38,3.43,1.32,1850.6,1792.1,1987-02-12,R,2.0,1837.8,1805.7,1991-05-16,R,1.0
20,Miami,Sony Ericsson Open,2018-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Krajinovic F.,Paire B.,27.0,47.0,1539.0,1075.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.57,2.25,1.61,2.25,1.65,2.41,,,1.7,2.45,1.62,2.31,1894.8,1845.8,1992-02-27,R,2.0,1783.2,1710.2,1989-05-08,R,2.0
20,Miami,Sony Ericsson Open,2018-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Isner J.,Youzhny M.,17.0,102.0,2170.0,589.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.38,2.8,1.4,2.75,1.44,3.06,,,1.49,3.13,1.43,2.85,1839.5,1781.5,1985-04-26,R,2.0,,,,,
20,Miami,Sony Ericsson Open,2018-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Sousa J.,Donaldson J.,80.0,49.0,680.0,1038.0,1.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.2,1.6,2.25,1.61,2.27,1.72,,,2.34,1.75,2.24,1.65,1734.6,1682.8,1989-03-30,R,2.0,,,,,
20,Miami,Sony Ericsson Open,2018-03-25,Masters 1000,Outdoor,Hard,3rd Round,3,Chung H.,Mmoh M.,23.0,176.0,1727.0,319.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.1,7.0,1.1,5.9,1.12,6.0,1.13,7.29,,,1.17,7.75,1.11,6.62,1796.7,1748.7,1996-05-19,R,2.0,1619.0,1601.4,1998-01-10,R,2.0
20,Miami,Sony Ericsson Open,2018-03-25,Masters 1000,Outdoor,Hard,2nd Round,3,Kyrgios N.,Lajovic D.,20.0,108.0,1945.0,540.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.27,3.45,1.28,3.5,1.31,3.84,,,1.34,4.0,1.3,3.57,1907.1,1876.7,1995-04-27,R,2.0,1716.2,1649.5,1990-06-30,R,1.0
20,Miami,Sony Ericsson Open,2018-03-26,Masters 1000,Outdoor,Hard,3rd Round,3,Shapovalov D.,Querrey S.,46.0,14.0,1076.0,2265.0,6.0,4.0,3.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,2.1,1.66,2,1.72,2.0,1.8,2.2,1.77,,,2.2,1.82,2.09,1.75,1946.8,1915.2,1999-04-15,L,1.0,1848.6,1770.9,1987-10-07,R,2.0
20,Miami,Sony Ericsson Open,2018-03-26,Masters 1000,Outdoor,Hard,3rd Round,3,Verdasco F.,Kokkinakis T.,39.0,175.0,1260.0,319.0,3.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,1.57,2.25,1.6,2.2,1.61,2.25,1.66,2.4,,,1.71,2.43,1.63,2.28,1805.3,1762.8,1983-11-15,L,2.0,1781.2,1752.6,1996-04-10,R,2.0
20,Miami,Sony Ericsson Open,2018-03-26,Masters 1000,Outdoor,Hard,3rd Round,3,Carreno Busta P.,Johnson S.,19.0,54.0,2045.0,940.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.72,2.0,1.8,2.0,1.83,2.12,,,1.85,2.2,1.77,2.04,,,,,,1725.9,1673.3,1989-12-24,R,2.0
20,Miami,Sony Ericsson Open,2018-03-26,Masters 1000,Outdoor,Hard,3rd Round,3,Anderson K.,Khachanov K.,8.0,41.0,3235.0,1220.0,4.0,6.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,1.44,2.62,1.47,2.5,1.53,2.5,1.54,2.69,,,1.57,2.8,1.51,2.57,,,,,,1872.7,1817.9,1996-05-21,R,2.0
20,Miami,Sony Ericsson Open,2018-03-26,Masters 1000,Outdoor,Hard,3rd Round,3,Kyrgios N.,Fognini F.,20.0,18.0,1945.0,2155.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.37,2.85,1.4,3.0,1.4,3.26,,,1.44,3.35,1.4,2.98,1907.1,1876.7,1995-04-27,R,2.0,1891.2,1829.0,1987-05-24,R,2.0
20,Miami,Sony Ericsson Open,2018-03-26,Masters 1000,Outdoor,Hard,3rd Round,3,Raonic M.,Schwartzman D.,25.0,16.0,1630.0,2220.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.61,2.2,1.6,2.2,1.61,2.25,1.65,2.43,,,1.68,2.45,1.63,2.29,1819.8,1759.2,1990-12-27,R,2.0,,,,,
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Carreno Busta P.,Verdasco F.,19.0,39.0,2045.0,1260.0,6.0,0.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.1,1.72,2.0,1.73,2.1,1.81,2.14,,,1.83,2.22,1.76,2.07,,,,,,1805.3,1762.8,1983-11-15,L,2.0
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Del Potro J.M.,Krajinovic F.,6.0,27.0,4155.0,1539.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.2,4.5,1.18,4.3,1.2,4.5,1.23,4.88,,,1.24,5.1,1.2,4.53,,,,,,1894.8,1845.8,1992-02-27,R,2.0
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,3rd Round,3,Coric B.,Sock J.,36.0,11.0,1366.0,2335.0,5.0,7.0,7.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,1.57,2.25,1.57,2.25,1.61,2.25,1.67,2.38,,,1.72,2.5,1.64,2.28,1823.7,1772.5,1996-11-14,R,2.0,,,,,
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,3rd Round,3,Zverev A.,Ferrer D.,5.0,35.0,4505.0,1370.0,2.0,6.0,6.0,2.0,6.0,4.0,,,,,2.0,1.0,Completed,1.57,2.25,1.53,2.35,1.57,2.37,1.56,2.65,,,1.62,2.65,1.57,2.41,1985.8,1948.1,1997-04-20,R,2.0,,,,,
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,3rd Round,3,Tiafoe F.,Berdych T.,63.0,13.0,844.0,2275.0,6.0,7.0,6.0,2.0,7.0,6.0,,,,,2.0,1.0,Completed,3.0,1.36,1.75,1.95,3.0,1.4,3.24,1.41,,,3.35,1.42,3.11,1.37,1739.2,1704.4,1998-01-20,R,2.0,1834.6,1798.8,1985-09-17,R,2.0
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Isner J.,Cilic M.,17.0,3.0,2170.0,4905.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,3.0,1.4,2.95,1.35,3.25,1.36,3.32,1.39,,,3.4,1.41,3.14,1.37,1839.5,1781.5,1985-04-26,R,2.0,1892.6,1840.0,1988-09-28,R,2.0
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Chung H.,Sousa J.,23.0,80.0,1727.0,680.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.18,4.3,1.2,4.5,1.24,4.72,,,1.24,5.0,1.2,4.54,1796.7,1748.7,1996-05-19,R,2.0,1734.6,1682.8,1989-03-30,R,2.0
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Coric B.,Shapovalov D.,36.0,46.0,1366.0,1076.0,7.0,6.0,4.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.53,2.5,1.53,2.35,1.57,2.37,1.59,2.56,,,1.62,2.67,1.58,2.41,1823.7,1772.5,1996-11-14,R,2.0,1946.8,1915.2,1999-04-15,L,1.0
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Raonic M.,Chardy J.,25.0,90.0,1630.0,640.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.37,2.85,1.4,3.0,1.42,3.19,,,1.45,3.3,1.39,3.02,1819.8,1759.2,1990-12-27,R,2.0,1850.6,1792.1,1987-02-12,R,2.0
20,Miami,Sony Ericsson Open,2018-03-27,Masters 1000,Outdoor,Hard,4th Round,3,Anderson K.,Tiafoe F.,8.0,63.0,3235.0,844.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.36,3.25,1.3,3.2,1.3,3.5,1.35,3.61,,,1.4,3.8,1.33,3.35,,,,,,1739.2,1704.4,1998-01-20,R,2.0
20,Miami,Sony Ericsson Open,2018-03-28,Masters 1000,Outdoor,Hard,4th Round,3,Zverev A.,Kyrgios N.,5.0,20.0,4505.0,1945.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.37,1.57,2.25,1.57,2.37,1.57,2.38,1.67,,,2.5,1.71,2.31,1.62,1985.8,1948.1,1997-04-20,R,2.0,1907.1,1876.7,1995-04-27,R,2.0
20,Miami,Sony Ericsson Open,2018-03-28,Masters 1000,Outdoor,Hard,Quarterfinals,3,Isner J.,Chung H.,17.0,23.0,2170.0,1727.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2.3,1.55,2.37,1.57,2.5,1.61,,,2.62,1.63,2.46,1.56,1839.5,1781.5,1985-04-26,R,2.0,1796.7,1748.7,1996-05-19,R,2.0
20,Miami,Sony Ericsson Open,2018-03-29,Masters 1000,Outdoor,Hard,Quarterfinals,3,Del Potro J.M.,Raonic M.,6.0,25.0,4155.0,1630.0,5.0,7.0,7.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,3.0,1.37,2.85,1.4,3.0,1.43,3.14,,,1.43,3.2,1.4,3.0,,,,,,1819.8,1759.2,1990-12-27,R,2.0
20,Miami,Sony Ericsson Open,2018-03-29,Masters 1000,Outdoor,Hard,Quarterfinals,3,Carreno Busta P.,Anderson K.,19.0,8.0,2045.0,3235.0,6.0,4.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,2.75,1.44,2.65,1.42,2.75,1.44,2.9,1.48,,,3.05,1.51,2.81,1.44,,,,,,,,,,
20,Miami,Sony Ericsson Open,2018-03-30,Masters 1000,Outdoor,Hard,Quarterfinals,3,Zverev A.,Coric B.,5.0,36.0,4505.0,1366.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.61,2.25,1.6,2.2,1.67,2.2,1.65,2.41,,,1.67,2.49,1.61,2.33,1985.8,1948.1,1997-04-20,R,2.0,1823.7,1772.5,1996-11-14,R,2.0
20,Miami,Sony Ericsson Open,2018-03-30,Masters 1000,Outdoor,Hard,Semifinals,3,Isner J.,Del Potro J.M.,17.0,6.0,2170.0,4155.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.62,1.5,2.5,1.47,2.37,1.57,2.8,1.51,,,2.85,1.57,2.59,1.51,1839.5,1781.5,1985-04-26,R,2.0,,,,,
20,Miami,Sony Ericsson Open,2018-03-31,Masters 1000,Outdoor,Hard,Semifinals,3,Zverev A.,Carreno Busta P.,5.0,19.0,4505.0,2045.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.4,3.0,1.35,2.95,1.4,3.0,1.41,3.2,,,1.46,3.3,1.39,3.05,1985.8,1948.1,1997-04-20,R,2.0,,,,,
20,Miami,Sony Ericsson Open,2018-04-01,Masters 1000,Outdoor,Hard,The Final,3,Isner J.,Zverev A.,17.0,5.0,2170.0,4505.0,6.0,7.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2.2,1.66,2.15,1.62,2.2,1.67,2.31,1.7,,,2.38,1.79,2.24,1.67,1839.5,1781.5,1985-04-26,R,2.0,1985.8,1948.1,1997-04-20,R,2.0
21,Houston,U.S. Men's Clay Court Championships,2018-04-09,ATP250,Outdoor,Clay,1st Round,3,Laaksonen H.,Brown D.,143.0,152.0,396.0,363.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.72,2.0,,,1.76,2.17,,,1.83,2.2,1.74,2.08,1582.4,1552.0,1992-03-31,R,2.0,1619.2,1605.6,1984-12-08,R,2.0
21,Houston,U.S. Men's Clay Court Championships,2018-04-09,ATP250,Outdoor,Clay,1st Round,3,Sandgren T.,Kavcic B.,56.0,128.0,898.0,433.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.28,3.35,,,1.35,3.44,,,1.37,3.6,1.32,3.38,1685.9,1615.8,1991-07-22,R,2.0,1581.5,1505.8,1987-03-05,R,2.0
21,Houston,U.S. Men's Clay Court Championships,2018-04-09,ATP250,Outdoor,Clay,1st Round,3,Fratangelo B.,Thompson J.,108.0,99.0,531.0,611.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.62,2.15,,,1.7,2.26,,,1.71,2.42,1.66,2.21,1634.4,1572.7,1993-07-19,R,2.0,1736.0,1645.3,1994-04-20,R,2.0
22,Marrakech,Grand Prix Hassan II,2018-04-09,ATP250,Outdoor,Clay,1st Round,3,Simon G.,Paire B.,71.0,47.0,755.0,1065.0,6.0,2.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.66,2.1,1.65,,,2.22,1.73,,,2.25,1.78,2.16,1.69,1786.5,1727.8,1984-12-27,R,2.0,1783.2,1776.9,1989-05-08,R,2.0
22,Marrakech,Grand Prix Hassan II,2018-04-09,ATP250,Outdoor,Clay,1st Round,3,Gasquet R.,Fabbiano T.,38.0,102.0,1295.0,586.0,6.0,1.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.16,5.0,1.16,4.6,,,1.19,5.32,,,1.23,5.32,1.19,4.8,1793.3,1726.1,1986-06-18,R,1.0,1571.3,1506.3,1989-05-26,R,2.0
22,Marrakech,Grand Prix Hassan II,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Arnaboldi A.,Dolgopolov O.,221.0,52.0,246.0,966.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,3.25,1.33,3.05,1.33,,,3.2,1.4,,,3.35,1.41,3.15,1.36,1429.1,1410.2,1987-12-27,L,1.0,,,,,
21,Houston,U.S. Men's Clay Court Championships,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Kudla D.,Verdasco F.,122.0,36.0,456.0,1305.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,4.0,1.22,3.75,1.23,,,4.02,1.28,,,4.2,1.33,3.87,1.26,1601.1,1543.7,1992-08-17,R,2.0,1805.3,1770.0,1983-11-15,L,2.0
21,Houston,U.S. Men's Clay Court Championships,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Zeballos H.,Nishioka Y.,66.0,380.0,798.0,109.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.1,1.66,2.1,1.65,,,2.17,1.76,,,2.25,1.87,2.12,1.72,,,,,,1825.7,1650.4,1995-09-27,L,2.0
21,Houston,U.S. Men's Clay Court Championships,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Harrison R.,Kecmanovic M.,54.0,187.0,945.0,309.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.75,1.95,,,1.97,1.92,,,2.05,2.2,1.83,1.99,,,,,,1711.5,1617.4,1999-08-31,R,
21,Houston,U.S. Men's Clay Court Championships,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Pella G.,Kozlov S.,63.0,184.0,830.0,313.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.23,3.75,,,1.25,4.36,,,1.37,4.4,1.25,3.96,1822.3,1819.7,1990-05-17,L,2.0,1425.6,1399.3,1998-02-01,R,2.0
21,Houston,U.S. Men's Clay Court Championships,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Tiafoe F.,Mcdonald M.,58.0,142.0,893.0,398.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.27,3.45,,,1.28,4.06,,,1.34,4.2,1.27,3.76,1739.2,1694.1,1998-01-20,R,2.0,1697.1,1493.2,1995-04-16,R,2.0
21,Houston,U.S. Men's Clay Court Championships,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Kicker N.,Young D.,87.0,130.0,650.0,426.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.42,2.65,,,1.45,2.95,,,1.5,3.0,1.44,2.77,,,,,,1509.9,1464.9,1989-07-23,L,2.0
22,Marrakech,Grand Prix Hassan II,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Basic M.,Haase R.,94.0,44.0,623.0,1120.0,4.0,6.0,6.0,4.0,7.0,5.0,,,,,2.0,1.0,Completed,3.5,1.28,3.45,1.27,,,3.59,1.33,,,3.8,1.34,3.56,1.3,1436.6,1407.6,1991-07-12,R,2.0,1659.3,1599.1,1987-04-06,R,2.0
21,Houston,U.S. Men's Clay Court Championships,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Karlovic I.,Daniel T.,88.0,111.0,645.0,513.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.75,1.95,,,1.85,2.04,,,1.97,2.1,1.82,1.98,1693.1,1629.5,1979-02-28,R,1.0,1618.9,1597.2,1993-01-27,R,2.0
22,Marrakech,Grand Prix Hassan II,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Carballes Baena R.,Marterer M.,78.0,73.0,706.0,738.0,6.0,3.0,6.0,1.0,,,,,,,2.0,0.0,Completed,2.1,1.66,2.15,1.62,,,2.32,1.67,,,2.43,1.7,2.23,1.66,,,,,,1666.4,1635.3,1995-06-15,L,2.0
22,Marrakech,Grand Prix Hassan II,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Sousa J.,Martinez P.,70.0,228.0,760.0,240.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.28,3.35,,,1.32,3.72,,,1.34,3.85,1.3,3.53,1734.6,1690.8,1989-03-30,R,2.0,,,,,
22,Marrakech,Grand Prix Hassan II,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Zverev M.,Lorenzi P.,55.0,57.0,932.0,895.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.1,1.65,,,2.13,1.79,,,2.2,1.8,2.1,1.73,1597.1,1553.4,1987-08-22,L,2.0,1560.9,1545.8,1981-12-15,R,2.0
22,Marrakech,Grand Prix Hassan II,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Vatutin A.,Struff J.L.,160.0,60.0,349.0,880.0,3.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,2.5,1.5,2.75,1.4,,,2.94,1.45,,,3.16,1.5,2.85,1.43,1496.6,1495.9,1992-10-27,,,,,,,
22,Marrakech,Grand Prix Hassan II,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Edmund K.,Vesely J.,26.0,65.0,1627.0,815.0,5.0,0.0,,,,,,,,,0.0,0.0,Retired,1.57,2.25,1.53,2.35,,,1.55,2.61,,,1.61,2.77,1.56,2.45,1830.1,1766.6,1995-01-08,R,2.0,1723.9,1656.6,1993-07-10,L,2.0
22,Marrakech,Grand Prix Hassan II,2018-04-10,ATP250,Outdoor,Clay,1st Round,3,Garcia-Lopez G.,Hemery C.,67.0,135.0,787.0,418.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.57,2.25,,,1.69,2.28,,,1.75,2.45,1.63,2.28,,,,,,,,,,
